datetime,server_id,cpu_utilization,free_memory,session_count
2019-03-06 00:00:00,100,0.4,0.54,52
2019-03-06 01:00:00,100,0.49,0.51,58
2019-03-06 02:00:00,100,0.49,0.54,53
2019-03-06 03:00:00,100,0.44,0.56,49
2019-03-06 04:00:00,100,0.42,0.52,54
2019-03-06 05:00:00,100,0.49,0.5,54
2019-03-06 06:00:00,100,0.43,0.54,50
2019-03-06 07:00:00,100,0.43,0.51,55
2019-03-06 08:00:00,100,0.46,0.47,50
2019-03-06 09:00:00,100,0.48,0.51,51
2019-03-06 10:00:00,100,0.5,0.58,61
2019-03-06 11:00:00,100,0.52,0.57,56
2019-03-06 12:00:00,100,0.41,0.54,53
2019-03-06 13:00:00,100,0.53,0.57,53
2019-03-06 14:00:00,100,0.46,0.56,52
2019-03-06 15:00:00,100,0.5,0.49,52
2019-03-06 16:00:00,100,0.46,0.59,56
2019-03-06 17:00:00,100,0.48,0.5,53
2019-03-06 18:00:00,100,0.49,0.61,49
2019-03-06 19:00:00,100,0.43,0.54,50
2019-03-06 20:00:00,100,0.47,0.53,52
2019-03-06 21:00:00,100,0.47,0.53,55
2019-03-06 22:00:00,100,0.54,0.55,52
2019-03-06 23:00:00,100,0.5,0.49,52
2019-03-07 00:00:00,100,0.51,0.52,55
2019-03-07 01:00:00,100,0.46,0.5,49
2019-03-07 02:00:00,100,0.44,0.5,56
2019-03-07 03:00:00,100,0.45,0.52,51
2019-03-07 04:00:00,100,0.42,0.5,53
2019-03-07 05:00:00,100,0.44,0.51,52
2019-03-07 06:00:00,100,0.45,0.5,54
2019-03-07 07:00:00,100,0.39,0.54,56
2019-03-07 08:00:00,100,0.44,0.52,58
2019-03-07 09:00:00,100,0.45,0.49,56
2019-03-07 10:00:00,100,0.47,0.58,57
2019-03-07 11:00:00,100,0.56,0.53,52
2019-03-07 12:00:00,100,0.48,0.56,57
2019-03-07 13:00:00,100,0.43,0.55,56
2019-03-07 14:00:00,100,0.46,0.58,55
2019-03-07 15:00:00,100,0.46,0.49,51
2019-03-07 16:00:00,100,0.43,0.5,52
2019-03-07 17:00:00,100,0.43,0.6,52
2019-03-07 18:00:00,100,0.49,0.54,48
2019-03-07 19:00:00,100,0.47,0.5,50
2019-03-07 20:00:00,100,0.49,0.5,55
2019-03-07 21:00:00,100,0.43,0.54,52
2019-03-07 22:00:00,100,0.41,0.52,58
2019-03-07 23:00:00,100,0.47,0.52,53
2019-03-08 00:00:00,100,0.48,0.47,60
2019-03-08 01:00:00,100,0.48,0.52,56
2019-03-08 02:00:00,100,0.42,0.55,54
2019-03-08 03:00:00,100,0.51,0.54,57
2019-03-08 04:00:00,100,0.46,0.56,52
2019-03-08 05:00:00,100,0.47,0.54,49
2019-03-08 06:00:00,100,0.41,0.54,59
2019-03-08 07:00:00,100,0.48,0.51,58
2019-03-08 08:00:00,100,0.48,0.59,52
2019-03-08 09:00:00,100,0.45,0.53,53
